COMPOUND_NAME	SACRI_PERIOD	DOSE_LEVEL	RBC(x10_4/ul)	Hb(g/dL)	Ht(%)	MCV(fL)	MCH(pg)	MCHC(%)	Ret(%)	Plat(x10_4/uL)	WBC(x10_2/uL)	Neu(%)	Eos(%)	Bas(%)	Mono(%)	Lym(%)	PT(s)	APTT(s)	Fbg(mg/dL)	ALP(IU/L)	TC(mg/dL)	TG(mg/dL)	PL(mg/dL)	TBIL(mg/dL)	DBIL(mg/dL)	GLC(mg/dL)	BUN(mg/dL)	CRE(mg/dL)	Na(meq/L)	K(meq/L)	Cl(meq/L)	Ca(mg/dL)	IP(mg/dL)	TP(g/dL)	RALB(g/dL)	A/G	AST(IU/L)	ALT(IU/L)	LDH(IU/L)	GTP(IU/L)	stratify_col
acetaminophen	15 day	Low	659.0	13.7	40.5	61.4	20.8	33.8	3.3	131.2	39.4	6.0	1.0	0.0	4.0	89.0	11.5	17.0	243.0	790.0	68.0	231.0	162.0	0.23	0.0	195.0	15.0	0.3	141.0	5.1	105.0	10.7	9.8	6.3	3.8	1.5	60.0	34.0	95.0	1.0	acetaminophen_15 day_Low
acetaminophen	29 day	Low	719.0	15.4	45.5	63.3	21.4	33.9	3.5	115.8	114.0	14.0	2.0	0.0	7.0	78.0	11.6	21.5	223.0	757.0	79.0	139.0	166.0	0.19	0.06	241.0	21.0	0.5	142.0	5.6	106.0	10.1	8.2	6.3	3.7	1.4	69.0	32.0	113.0	1.0	acetaminophen_29 day_Low
acetaminophen	29 day	Low	689.0	14.1	41.7	60.4	20.5	33.9	2.9	105.0	76.6	23.0	1.0	0.0	3.0	73.0	11.6	16.2	216.0	564.0	75.0	309.0	187.0	0.28	0.05	208.0	19.0	0.5	142.0	4.8	106.0	10.5	7.6	6.3	3.6	1.3	55.0	25.0	153.0	1.0	acetaminophen_29 day_Low
acetaminophen	29 day	Low	689.0	14.1	41.7	60.4	20.5	33.9	2.9	105.0	76.6	23.0	1.0	0.0	3.0	73.0	11.6	16.2	216.0	564.0	75.0	309.0	187.0	0.28	0.05	208.0	19.0	0.5	142.0	4.8	106.0	10.5	7.6	6.3	3.6	1.3	55.0	25.0	153.0	1.0	acetaminophen_29 day_Low
acetaminophen	29 day	Low	700.0	14.1	41.5	59.3	20.2	34.0	3.3	120.2	52.5	15.0	0.0	0.0	2.0	83.0	11.4	16.2	224.0	493.0	75.0	375.0	185.0	0.19	0.0	207.0	21.0	0.5	142.0	5.0	103.0	10.5	7.3	6.8	3.8	1.3	56.0	32.0	113.0	0.0	acetaminophen_29 day_Low
acetaminophen	29 day	Low	700.0	14.1	41.5	59.3	20.2	34.0	3.3	120.2	52.5	15.0	0.0	0.0	2.0	83.0	11.4	16.2	224.0	493.0	75.0	375.0	185.0	0.19	0.0	207.0	21.0	0.5	142.0	5.0	103.0	10.5	7.3	6.8	3.8	1.3	56.0	32.0	113.0	0.0	acetaminophen_29 day_Low
acetaminophen	29 day	Low	703.0	14.7	43.6	62.0	20.8	33.6	3.2	84.7	59.4	5.0	1.0	0.0	1.0	93.0	11.6	16.8	203.0	548.0	62.0	239.0	157.0	0.25	0.07	166.0	19.0	0.4	144.0	5.2	105.0	10.2	9.1	6.2	3.7	1.5	51.0	30.0	71.0	1.0	acetaminophen_29 day_Low
acetaminophen	29 day	Low	729.0	14.1	42.8	58.7	19.4	33.0	4.0	116.5	53.1	11.0	1.0	0.0	4.0	84.0	11.3	17.4	240.0	611.0	83.0	112.0	176.0	0.23	0.02	200.0	20.0	0.4	143.0	5.2	103.0	10.4	9.5	6.3	3.7	1.4	48.0	32.0	65.0	1.0	acetaminophen_29 day_Low
acetaminophen	29 day	Low	729.0	14.1	42.8	58.7	19.4	33.0	4.0	116.5	53.1	11.0	1.0	0.0	4.0	84.0	11.3	17.4	240.0	611.0	83.0	112.0	176.0	0.23	0.02	200.0	20.0	0.4	143.0	5.2	103.0	10.4	9.5	6.3	3.7	1.4	48.0	32.0	65.0	1.0	acetaminophen_29 day_Low
acetaminophen	8 day	Middle	600.0	13.6	40.3	67.1	22.7	33.9	5.2	140.8	57.4	19.0	2.0	0.0	5.0	74.0	11.5	17.5	239.0	882.0	103.0	199.0	217.0	0.21	0.0	204.0	17.0	0.4	143.0	5.6	105.0	10.6	8.4	6.6	3.8	1.4	57.0	28.0	123.0	1.0	acetaminophen_8 day_Middle
acetaminophen	8 day	Middle	616.0	13.4	40.3	65.4	21.8	33.4	6.4	124.3	21.4	17.0	2.0	0.0	2.0	79.0	11.4	15.0	249.0	977.0	65.0	154.0	158.0	0.19	0.02	179.0	19.0	0.4	144.0	5.6	102.0	10.8	9.7	6.5	3.7	1.3	59.0	34.0	126.0	1.0	acetaminophen_8 day_Middle
acetaminophen	8 day	Middle	616.0	13.4	40.3	65.4	21.8	33.4	6.4	124.3	21.4	17.0	2.0	0.0	2.0	79.0	11.4	15.0	249.0	977.0	65.0	154.0	158.0	0.19	0.02	179.0	19.0	0.4	144.0	5.6	102.0	10.8	9.7	6.5	3.7	1.3	59.0	34.0	126.0	1.0	acetaminophen_8 day_Middle
acetaminophen	8 day	Middle	568.0	12.2	35.9	63.3	21.5	34.0	8.0	125.1	35.9	23.0	1.0	0.0	5.0	71.0	11.5	16.2	246.0	853.0	68.0	99.0	141.0	0.24	0.02	193.0	18.0	0.4	141.0	5.4	104.0	10.6	9.9	6.2	3.6	1.4	55.0	26.0	105.0	1.0	acetaminophen_8 day_Middle
acetaminophen	8 day	Middle	568.0	12.2	35.9	63.3	21.5	34.0	8.0	125.1	35.9	23.0	1.0	0.0	5.0	71.0	11.5	16.2	246.0	853.0	68.0	99.0	141.0	0.24	0.02	193.0	18.0	0.4	141.0	5.4	104.0	10.6	9.9	6.2	3.6	1.4	55.0	26.0	105.0	1.0	acetaminophen_8 day_Middle
acetaminophen	8 day	Middle	593.0	12.1	36.1	60.8	20.4	33.5	6.0	124.8	52.6	33.0	2.0	0.0	10.0	55.0	11.3	13.2	221.0	798.0	84.0	180.0	151.0	0.2	0.04	192.0	19.0	0.2	140.0	5.6	103.0	10.1	10.8	6.4	4.1	1.8	69.0	37.0	199.0	1.0	acetaminophen_8 day_Middle
acetaminophen	8 day	Middle	595.0	12.7	37.6	63.2	21.4	33.9	6.0	133.7	31.7	24.0	2.0	0.0	6.0	69.0	12.2	15.5	251.0	994.0	89.0	146.0	148.0	0.2	0.05	202.0	20.0	0.4	140.0	5.9	103.0	10.7	10.7	6.2	3.8	1.6	55.0	49.0	77.0	2.0	acetaminophen_8 day_Middle
acetaminophen	8 day	Middle	595.0	12.7	37.6	63.2	21.4	33.9	6.0	133.7	31.7	24.0	2.0	0.0	6.0	69.0	12.2	15.5	251.0	994.0	89.0	146.0	148.0	0.2	0.05	202.0	20.0	0.4	140.0	5.9	103.0	10.7	10.7	6.2	3.8	1.6	55.0	49.0	77.0	2.0	acetaminophen_8 day_Middle
acetaminophen	15 day	Middle	677.0	14.1	42.2	62.3	20.9	33.5	3.4	102.6	56.6	10.0	1.0	0.0	2.0	87.0	12.0	18.1	243.0	775.0	76.0	275.0	184.0	0.26	0.05	185.0	18.0	0.4	142.0	5.9	105.0	10.5	7.4	6.4	4.0	1.7	56.0	34.0	83.0	1.0	acetaminophen_15 day_Middle
acetaminophen	15 day	Middle	677.0	14.1	42.2	62.3	20.9	33.5	3.4	102.6	56.6	10.0	1.0	0.0	2.0	87.0	12.0	18.1	243.0	775.0	76.0	275.0	184.0	0.26	0.05	185.0	18.0	0.4	142.0	5.9	105.0	10.5	7.4	6.4	4.0	1.7	56.0	34.0	83.0	1.0	acetaminophen_15 day_Middle
acetaminophen	15 day	Middle	654.0	14.0	41.4	63.3	21.4	33.9	5.0	114.6	85.6	14.0	1.0	0.0	5.0	81.0	11.5	17.6	214.0	841.0	89.0	137.0	179.0	0.21	0.02	173.0	18.0	0.2	141.0	5.8	101.0	10.7	9.2	6.4	3.8	1.5	58.0	32.0	129.0	1.0	acetaminophen_15 day_Middle
acetaminophen	15 day	Middle	697.0	14.8	43.8	62.8	21.2	33.8	4.4	124.7	51.4	20.0	1.0	0.0	6.0	73.0	12.8	21.0	246.0	672.0	88.0	263.0	220.0	0.21	0.1	206.0	18.0	0.4	142.0	5.1	103.0	10.8	10.0	6.6	3.9	1.4	49.0	28.0	112.0	1.0	acetaminophen_15 day_Middle
acetaminophen	15 day	Middle	697.0	14.8	43.8	62.8	21.2	33.8	4.4	124.7	51.4	20.0	1.0	0.0	6.0	73.0	12.8	21.0	246.0	672.0	88.0	263.0	220.0	0.21	0.1	206.0	18.0	0.4	142.0	5.1	103.0	10.8	10.0	6.6	3.9	1.4	49.0	28.0	112.0	1.0	acetaminophen_15 day_Middle
acetaminophen	15 day	Middle	667.0	13.9	41.2	61.8	20.8	33.7	4.8	126.6	22.9	24.0	1.0	0.0	5.0	70.0	11.7	18.1	244.0	761.0	65.0	106.0	149.0	0.24	0.02	197.0	15.0	0.3	142.0	4.9	102.0	10.8	10.1	5.9	3.5	1.5	59.0	28.0	103.0	1.0	acetaminophen_15 day_Middle
acetaminophen	15 day	Middle	667.0	13.9	41.2	61.8	20.8	33.7	4.8	126.6	22.9	24.0	1.0	0.0	5.0	70.0	11.7	18.1	244.0	761.0	65.0	106.0	149.0	0.24	0.02	197.0	15.0	0.3	142.0	4.9	102.0	10.8	10.1	5.9	3.5	1.5	59.0	28.0	103.0	1.0	acetaminophen_15 day_Middle
acetaminophen	15 day	Middle	630.0	14.1	42.4	67.3	22.4	33.3	4.0	101.9	37.4	21.0	1.0	0.0	4.0	75.0	11.5	15.8	234.0	941.0	67.0	62.0	143.0	0.24	0.0	215.0	24.0	0.4	143.0	5.1	106.0	10.7	9.5	6.1	3.6	1.4	65.0	35.0	87.0	1.0	acetaminophen_15 day_Middle
acetaminophen	29 day	Middle	751.0	15.3	45.5	60.6	20.4	33.6	2.2	127.3	109.0	18.0	1.0	0.0	7.0	75.0	11.2	16.4	243.0	779.0	88.0	327.0	213.0	0.2	0.04	176.0	24.0	0.5	144.0	5.4	103.0	11.4	10.7	7.5	4.1	1.2	60.0	28.0	117.0	1.0	acetaminophen_29 day_Middle
acetaminophen	29 day	Middle	751.0	15.3	45.5	60.6	20.4	33.6	2.2	127.3	109.0	18.0	1.0	0.0	7.0	75.0	11.2	16.4	243.0	779.0	88.0	327.0	213.0	0.2	0.04	176.0	24.0	0.5	144.0	5.4	103.0	11.4	10.7	7.5	4.1	1.2	60.0	28.0	117.0	1.0	acetaminophen_29 day_Middle
acetaminophen	29 day	Middle	744.0	15.0	44.8	60.3	20.2	33.6	3.2	106.8	99.2	9.0	1.0	0.0	5.0	85.0	11.7	17.4	229.0	890.0	88.0	232.0	209.0	0.22	0.07	196.0	21.0	0.3	141.0	5.7	103.0	10.2	8.4	6.6	3.9	1.4	59.0	42.0	76.0	0.0	acetaminophen_29 day_Middle
acetaminophen	29 day	Middle	682.0	14.1	41.5	60.9	20.7	34.0	2.7	110.1	47.4	15.0	1.0	0.0	3.0	81.0	11.3	16.1	264.0	585.0	84.0	380.0	226.0	0.23	0.04	192.0	21.0	0.5	141.0	5.2	103.0	10.7	7.9	6.7	3.9	1.4	49.0	25.0	73.0	1.0	acetaminophen_29 day_Middle
acetaminophen	29 day	Middle	689.0	14.1	41.5	60.3	20.4	33.8	2.9	108.7	21.7	27.0	1.0	0.0	10.0	61.0	11.6	17.7	208.0	467.0	89.0	279.0	210.0	0.18	0.07	200.0	20.0	0.4	140.0	5.7	103.0	10.0	8.3	6.5	3.8	1.4	49.0	30.0	90.0	1.0	acetaminophen_29 day_Middle
acetaminophen	29 day	Middle	689.0	14.1	41.5	60.3	20.4	33.8	2.9	108.7	21.7	27.0	1.0	0.0	10.0	61.0	11.6	17.7	208.0	467.0	89.0	279.0	210.0	0.18	0.07	200.0	20.0	0.4	140.0	5.7	103.0	10.0	8.3	6.5	3.8	1.4	49.0	30.0	90.0	1.0	acetaminophen_29 day_Middle
acetaminophen	29 day	Middle	735.0	14.8	43.8	59.6	20.1	33.8	3.6	89.4	55.8	14.0	1.0	0.0	5.0	80.0	11.4	19.3	213.0	473.0	75.0	160.0	186.0	0.22	0.1	210.0	19.0	0.3	142.0	5.4	103.0	10.5	9.1	6.8	4.1	1.5	42.0	23.0	65.0	1.0	acetaminophen_29 day_Middle
acetaminophen	29 day	Middle	735.0	14.8	43.8	59.6	20.1	33.8	3.6	89.4	55.8	14.0	1.0	0.0	5.0	80.0	11.4	19.3	213.0	473.0	75.0	160.0	186.0	0.22	0.1	210.0	19.0	0.3	142.0	5.4	103.0	10.5	9.1	6.8	4.1	1.5	42.0	23.0	65.0	1.0	acetaminophen_29 day_Middle
acetaminophen	8 day	High	608.0	13.0	38.4	63.2	21.4	33.8	6.4	143.4	12.7	21.0	2.0	0.0	10.0	67.0	11.8	17.0	252.0	1806.0	75.0	153.0	168.0	0.2	0.03	191.0	16.0	0.3	144.0	5.1	103.0	10.7	8.4	6.3	3.8	1.5	54.0	37.0	124.0	1.0	acetaminophen_8 day_High
acetaminophen	8 day	High	633.0	13.3	39.9	63.1	21.0	33.3	4.8	130.5	12.8	23.0	2.0	0.0	6.0	69.0	11.9	17.0	245.0	735.0	84.0	153.0	175.0	0.15	0.04	215.0	19.0	0.3	142.0	5.0	103.0	11.0	9.7	6.2	3.9	1.7	49.0	27.0	120.0	0.0	acetaminophen_8 day_High
acetaminophen	8 day	High	594.0	13.0	38.8	65.3	21.8	33.4	5.5	122.1	8.8	20.0	3.0	0.0	33.0	43.0	12.2	18.6	251.0	746.0	78.0	138.0	180.0	0.14	0.02	176.0	15.0	0.3	143.0	5.8	106.0	10.7	9.3	6.1	3.8	1.7	54.0	32.0	67.0	2.0	acetaminophen_8 day_High
acetaminophen	8 day	High	594.0	13.0	38.8	65.3	21.8	33.4	5.5	122.1	8.8	20.0	3.0	0.0	33.0	43.0	12.2	18.6	251.0	746.0	78.0	138.0	180.0	0.14	0.02	176.0	15.0	0.3	143.0	5.8	106.0	10.7	9.3	6.1	3.8	1.7	54.0	32.0	67.0	2.0	acetaminophen_8 day_High
acetaminophen	8 day	High	570.0	12.4	37.0	64.9	21.8	33.6	5.2	119.4	40.5	21.0	3.0	0.0	7.0	70.0	11.5	16.5	223.0	957.0	67.0	69.0	142.0	0.2	0.06	199.0	17.0	0.3	140.0	5.2	102.0	10.5	9.2	5.8	3.5	1.5	56.0	31.0	132.0	1.0	acetaminophen_8 day_High
acetaminophen	8 day	High	570.0	12.4	37.0	64.9	21.8	33.6	5.2	119.4	40.5	21.0	3.0	0.0	7.0	70.0	11.5	16.5	223.0	957.0	67.0	69.0	142.0	0.2	0.06	199.0	17.0	0.3	140.0	5.2	102.0	10.5	9.2	5.8	3.5	1.5	56.0	31.0	132.0	1.0	acetaminophen_8 day_High
acetaminophen	8 day	High	605.0	13.1	38.2	63.2	21.6	34.2	3.6	121.9	30.5	15.0	2.0	0.0	6.0	77.0	11.8	12.4	259.0	681.0	84.0	55.0	175.0	0.25	0.09	230.0	15.0	0.3	143.0	4.8	103.0	10.9	11.0	6.0	3.8	1.7	54.0	27.0	116.0	2.0	acetaminophen_8 day_High
acetaminophen	8 day	High	605.0	13.1	38.2	63.2	21.6	34.2	3.6	121.9	30.5	15.0	2.0	0.0	6.0	77.0	11.8	12.4	259.0	681.0	84.0	55.0	175.0	0.25	0.09	230.0	15.0	0.3	143.0	4.8	103.0	10.9	11.0	6.0	3.8	1.7	54.0	27.0	116.0	2.0	acetaminophen_8 day_High
acetaminophen	15 day	High	617.0	13.5	39.9	64.7	21.9	33.8	4.8	110.6	24.0	23.0	2.0	0.0	5.0	70.0	10.9	13.6	248.0	1033.0	82.0	139.0	192.0	0.23	0.02	184.0	17.0	0.2	142.0	5.9	107.0	10.5	7.8	6.2	3.8	1.6	58.0	29.0	121.0	1.0	acetaminophen_15 day_High
acetaminophen	15 day	High	578.0	12.8	37.4	64.7	22.1	34.2	4.7	122.1	49.3	13.0	1.0	0.0	6.0	80.0	11.6	15.4	234.0	695.0	81.0	345.0	207.0	0.29	0.01	176.0	20.0	0.4	144.0	5.5	105.0	10.6	8.0	6.2	3.8	1.6	58.0	30.0	118.0	0.0	acetaminophen_15 day_High
acetaminophen	15 day	High	578.0	12.8	37.4	64.7	22.1	34.2	4.7	122.1	49.3	13.0	1.0	0.0	6.0	80.0	11.6	15.4	234.0	695.0	81.0	345.0	207.0	0.29	0.01	176.0	20.0	0.4	144.0	5.5	105.0	10.6	8.0	6.2	3.8	1.6	58.0	30.0	118.0	0.0	acetaminophen_15 day_High
acetaminophen	15 day	High	621.0	13.2	39.4	63.5	21.2	33.4	4.6	107.9	46.7	16.0	3.0	0.0	4.0	78.0	11.6	16.6	212.0	921.0	87.0	77.0	182.0	0.2	0.04	201.0	20.0	0.4	141.0	5.9	104.0	10.4	8.6	5.9	3.5	1.5	60.0	43.0	82.0	3.0	acetaminophen_15 day_High
acetaminophen	15 day	High	621.0	13.2	39.4	63.5	21.2	33.4	4.6	107.9	46.7	16.0	3.0	0.0	4.0	78.0	11.6	16.6	212.0	921.0	87.0	77.0	182.0	0.2	0.04	201.0	20.0	0.4	141.0	5.9	104.0	10.4	8.6	5.9	3.5	1.5	60.0	43.0	82.0	3.0	acetaminophen_15 day_High
acetaminophen	15 day	High	633.0	13.9	40.6	64.1	21.9	34.2	6.2	107.5	71.3	18.0	1.0	0.0	3.0	78.0	11.8	17.9	229.0	817.0	77.0	147.0	184.0	0.2	0.01	196.0	13.0	0.3	142.0	5.1	106.0	10.6	8.1	5.7	3.6	1.7	55.0	39.0	113.0	1.0	acetaminophen_15 day_High
acetaminophen	15 day	High	660.0	14.1	41.2	62.5	21.4	34.3	2.8	110.9	119.0	8.0	1.0	0.0	3.0	88.0	11.8	16.9	232.0	1236.0	75.0	92.0	161.0	0.2	0.04	257.0	17.0	0.3	141.0	5.0	105.0	10.4	8.8	5.8	3.4	1.4	57.0	36.0	118.0	2.0	acetaminophen_15 day_High
acetaminophen	15 day	High	660.0	14.1	41.2	62.5	21.4	34.3	2.8	110.9	119.0	8.0	1.0	0.0	3.0	88.0	11.8	16.9	232.0	1236.0	75.0	92.0	161.0	0.2	0.04	257.0	17.0	0.3	141.0	5.0	105.0	10.4	8.8	5.8	3.4	1.4	57.0	36.0	118.0	2.0	acetaminophen_15 day_High
acetaminophen	29 day	High	623.0	13.2	38.5	61.8	21.2	34.3	5.5	127.4	45.3	15.0	0.0	0.0	1.0	85.0	11.3	16.8	231.0	591.0	89.0	298.0	214.0	0.25	0.03	206.0	29.0	0.5	141.0	5.3	102.0	10.7	8.1	6.8	3.7	1.2	52.0	27.0	84.0	0.0	acetaminophen_29 day_High
acetaminophen	29 day	High	623.0	13.2	38.5	61.8	21.2	34.3	5.5	127.4	45.3	15.0	0.0	0.0	1.0	85.0	11.3	16.8	231.0	591.0	89.0	298.0	214.0	0.25	0.03	206.0	29.0	0.5	141.0	5.3	102.0	10.7	8.1	6.8	3.7	1.2	52.0	27.0	84.0	0.0	acetaminophen_29 day_High
acetaminophen	29 day	High	670.0	14.7	43.2	64.4	22.0	34.1	3.9	108.0	25.5	35.0	1.0	0.0	5.0	59.0	11.3	17.6	235.0	679.0	85.0	203.0	191.0	0.21	0.07	175.0	23.0	0.4	143.0	5.0	102.0	10.5	9.1	6.7	4.0	1.5	72.0	36.0	129.0	2.0	acetaminophen_29 day_High
acetaminophen	29 day	High	670.0	14.7	43.2	64.4	22.0	34.1	3.9	108.0	25.5	35.0	1.0	0.0	5.0	59.0	11.3	17.6	235.0	679.0	85.0	203.0	191.0	0.21	0.07	175.0	23.0	0.4	143.0	5.0	102.0	10.5	9.1	6.7	4.0	1.5	72.0	36.0	129.0	2.0	acetaminophen_29 day_High
acetaminophen	29 day	High	632.0	13.6	39.5	62.5	21.5	34.5	3.4	118.7	36.2	46.0	1.0	0.0	5.0	48.0	11.4	15.3	223.0	503.0	96.0	194.0	200.0	0.21	0.05	182.0	20.0	0.4	139.0	5.4	105.0	10.2	9.8	6.1	3.6	1.4	48.0	31.0	58.0	1.0	acetaminophen_29 day_High
acetaminophen	29 day	High	670.0	14.7	43.1	64.3	22.0	34.1	0.0	89.5	30.4	16.0	1.0	0.0	4.0	78.0	11.5	16.9	230.0	631.0	79.0	114.0	185.0	0.19	0.11	182.0	20.0	0.3	142.0	4.9	102.0	10.2	8.9	6.4	3.9	1.6	50.0	33.0	134.0	1.0	acetaminophen_29 day_High
acetaminophen	29 day	High	670.0	14.7	43.1	64.3	22.0	34.1	0.0	89.5	30.4	16.0	1.0	0.0	4.0	78.0	11.5	16.9	230.0	631.0	79.0	114.0	185.0	0.19	0.11	182.0	20.0	0.3	142.0	4.9	102.0	10.2	8.9	6.4	3.9	1.6	50.0	33.0	134.0	1.0	acetaminophen_29 day_High
acetaminophen	29 day	High	681.0	14.6	42.9	63.0	21.5	34.1	2.9	110.8	49.4	29.0	1.0	0.0	6.0	63.0	11.2	18.3	249.0	556.0	135.0	109.0	265.0	0.26	0.08	246.0	17.0	0.4	143.0	5.4	104.0	10.7	9.8	6.9	3.9	1.3	55.0	28.0	218.0	2.0	acetaminophen_29 day_High
isoniazid	8 day	Low	692.0	13.8	40.6	58.7	20.0	34.0	5.8	140.5	76.1	9.0	1.0	0.0	6.0	84.0	11.7	15.3	222.0	692.0	81.0	71.0	137.0	0.24	0.06	240.0	19.0	0.6	140.0	4.4	104.0	10.4	8.4	5.9	3.5	1.5	58.0	25.0	122.0	1.0	isoniazid_8 day_Low
