,COMPOUND_NAME,SACRI_PERIOD,DOSE_LEVEL,RBC(x10_4/ul),Hb(g/dL),Ht(%),MCV(fL),MCH(pg),MCHC(%),Ret(%),Plat(x10_4/uL),WBC(x10_2/uL),Neu(%),Eos(%),Bas(%),Mono(%),Lym(%),PT(s),APTT(s),Fbg(mg/dL),ALP(IU/L),TC(mg/dL),TG(mg/dL),PL(mg/dL),TBIL(mg/dL),DBIL(mg/dL),GLC(mg/dL),BUN(mg/dL),CRE(mg/dL),Na(meq/L),K(meq/L),Cl(meq/L),Ca(mg/dL),IP(mg/dL),TP(g/dL),RALB(g/dL),A/G,AST(IU/L),ALT(IU/L),LDH(IU/L),GTP(IU/L)
10,rosiglitazone maleate,8 day,Middle,650.0,13.2,40.7,62.6,20.3,32.4,4.7,132.0,66.0,17.0,1.0,0.0,6.0,76.0,11.6,14.7,227.0,1260.0,71.0,67.0,137.0,0.03,0.01,166.0,19.0,0.4,142.0,4.5,105.0,11.1,7.6,5.8,3.9,2.1,67.0,35.0,73.0,0.0
11,rosiglitazone maleate,15 day,High,590.0,12.2,37.7,63.8,20.7,32.4,5.0,95.0,134.0,14.0,1.0,0.0,5.0,80.0,12.3,18.5,226.0,1203.0,78.0,29.0,123.0,0.03,0.01,196.0,16.0,0.4,147.0,3.6,108.0,11.1,7.9,5.6,3.6,1.8,71.0,37.0,55.0,1.0
12,bromobenzene,15 day,High,685.0,13.8,41.5,60.6,20.2,33.3,5.2,98.0,80.7,18.0,1.0,0.0,3.0,78.0,12.2,19.5,295.0,2048.0,73.0,195.0,176.0,0.03,0.01,185.0,14.0,0.2,145.0,3.9,106.0,10.8,7.0,6.1,2.8,0.8,69.0,41.0,56.0,1.0
13,thioacetamide,29 day,Middle,732.0,14.6,42.9,58.7,20.0,34.1,3.5,98.0,119.0,12.0,1.0,0.0,8.0,79.0,11.5,16.2,249.0,591.0,64.0,54.0,123.0,0.18,0.02,168.0,19.0,0.6,134.0,4.3,106.0,9.7,6.0,5.8,3.8,1.9,34.0,30.0,130.0,2.0
14,ajmaline,8 day,Low,613.0,13.2,39.7,64.8,21.6,33.3,7.6,122.9,90.1,9.0,1.0,0.0,8.0,82.0,11.3,16.0,246.0,742.0,103.0,139.0,194.0,0.32,0.0,203.0,21.0,0.4,143.0,4.7,104.0,12.0,7.7,6.1,3.9,1.8,66.0,40.0,229.0,1.0
15,tiopronin,29 day,Low,757.0,14.6,41.9,55.3,19.3,34.9,3.2,95.7,110.7,12.0,2.0,0.0,2.0,83.0,15.9,24.0,326.0,1137.0,87.0,122.0,156.0,0.0,0.0,194.0,21.0,0.2,143.0,4.3,107.0,11.2,6.5,5.9,3.1,1.1,58.0,34.0,136.0,2.0
16,tiopronin,8 day,High,614.0,12.4,37.1,60.4,20.2,33.5,6.5,139.6,96.8,23.0,1.0,0.0,2.0,73.0,15.3,21.7,265.0,1000.0,72.0,63.0,125.0,0.0,0.0,172.0,17.0,0.2,140.0,4.7,105.0,10.9,8.6,5.0,2.8,1.3,72.0,49.0,145.0,2.0
17,chlorpheniramine,29 day,High,836.0,15.5,45.7,54.6,18.5,33.9,2.3,117.1,107.7,13.0,1.0,0.0,3.0,82.0,15.2,16.8,272.0,1014.0,72.0,143.0,150.0,0.02,0.01,186.0,17.0,0.2,144.0,4.3,104.0,10.9,6.7,6.1,2.7,0.8,61.0,33.0,70.0,1.0
18,captopril,29 day,Middle,703.0,14.3,42.7,60.8,20.3,33.5,4.1,118.2,163.0,12.0,1.0,0.0,5.0,82.0,11.0,13.5,263.0,666.0,97.0,115.0,186.0,0.42,0.0,204.0,36.0,0.6,137.0,4.9,105.0,10.3,6.9,6.1,4.1,2.1,65.0,36.0,75.0,0.0
19,papaverine,8 day,High,665.0,13.8,40.1,60.2,20.7,34.4,4.5,130.8,106.3,19.0,1.0,0.0,3.0,76.0,15.6,23.8,342.0,1342.0,78.0,94.0,148.0,0.0,0.0,187.0,13.0,0.1,143.0,4.0,107.0,10.9,6.9,5.7,3.1,1.1,73.0,43.0,188.0,2.0
20,sulpiride,8 day,High,645.0,13.3,39.5,61.2,20.6,33.6,5.2,146.6,106.5,18.0,1.0,0.0,3.0,78.0,13.4,19.8,320.0,1356.0,64.0,78.0,119.0,0.05,0.0,170.0,16.0,0.2,140.0,4.3,102.0,11.0,7.2,5.7,2.7,0.9,80.0,59.0,65.0,1.0
21,nimesulide,15 day,Low,701.0,15.1,43.9,62.6,21.6,34.5,3.2,115.1,112.0,7.0,1.0,0.0,2.0,90.0,12.2,19.0,236.0,716.0,79.0,153.0,166.0,0.32,0.0,232.0,20.0,0.5,140.0,4.5,107.0,10.5,7.1,6.0,4.0,2.0,58.0,23.0,68.0,1.0
22,thioacetamide,29 day,Low,753.0,14.6,43.3,57.5,19.5,33.8,3.1,104.5,136.0,21.0,1.0,0.0,5.0,73.0,11.3,14.9,237.0,764.0,60.0,92.0,127.0,0.31,0.0,173.0,21.0,0.6,136.0,4.1,104.0,10.2,7.1,6.3,3.9,1.6,59.0,24.0,68.0,2.0
23,caffeine,15 day,High,796.0,15.1,44.1,55.4,19.0,34.3,3.6,110.1,70.8,22.0,1.0,0.0,2.0,74.0,15.4,24.9,352.0,1651.0,88.0,144.0,169.0,0.02,0.0,178.0,14.0,0.2,143.0,4.1,106.0,11.0,8.0,6.0,3.3,1.2,77.0,46.0,122.0,2.0
24,rotenone,15 day,High,868.0,17.3,51.6,59.4,20.0,33.6,0.3,90.0,79.0,12.0,0.0,0.0,7.0,81.0,15.5,17.1,114.0,610.0,72.0,67.0,135.0,0.07,0.02,137.0,35.0,0.4,143.0,4.1,107.0,10.8,5.8,5.2,3.8,2.7,198.0,91.0,49.0,1.0
25,fluphenazine,8 day,Middle,628.0,13.9,41.4,66.0,22.1,33.5,3.5,78.0,77.0,16.0,1.0,0.0,13.0,70.0,12.2,16.8,217.0,805.0,126.0,80.0,218.0,0.28,0.03,182.0,18.0,0.5,138.0,4.4,103.0,10.5,10.0,6.1,4.1,2.1,59.0,29.0,66.0,1.0
26,fluphenazine,29 day,Low,753.0,14.4,42.7,56.7,19.1,33.6,2.3,94.6,161.0,8.0,1.0,0.0,2.0,90.0,12.1,18.3,203.0,521.0,72.0,114.0,146.0,0.28,0.0,179.0,18.0,0.6,140.0,4.1,106.0,10.5,5.8,6.4,4.1,1.8,54.0,28.0,76.0,3.0
27,quinidine,29 day,High,802.0,15.2,44.8,55.8,19.0,34.1,3.1,116.1,189.7,20.0,1.0,0.0,2.0,74.0,15.5,25.0,291.0,914.0,74.0,126.0,153.0,0.01,0.0,201.0,18.0,0.2,141.0,4.4,104.0,11.0,8.4,5.6,3.0,1.2,69.0,52.0,106.0,1.0
28,fenofibrate,8 day,Middle,652.0,13.3,40.2,61.6,20.4,33.1,4.9,134.6,103.2,26.0,1.0,0.0,3.0,70.0,15.6,17.0,218.0,1409.0,50.0,35.0,113.0,0.02,0.01,178.0,15.0,0.2,144.0,4.4,109.0,10.6,8.2,6.0,2.9,0.9,67.0,38.0,102.0,1.0
29,methyltestosterone,15 day,Low,700.0,14.4,41.6,59.4,20.6,34.7,3.8,120.2,100.5,12.0,1.0,0.0,2.0,83.0,13.0,18.1,302.0,1532.0,47.0,310.0,133.0,0.03,0.04,201.0,14.0,0.2,142.0,4.0,107.0,10.5,6.6,6.1,2.8,0.8,67.0,50.0,243.0,2.0
30,nicotinic acid,29 day,Low,791.0,15.5,42.7,53.9,19.6,36.2,3.0,120.5,144.4,8.0,1.0,0.0,2.0,88.0,16.3,24.4,398.0,1313.0,84.0,141.0,164.0,0.02,0.0,184.0,19.0,0.2,143.0,3.9,106.0,10.2,7.3,5.9,3.1,1.1,65.0,38.0,101.0,2.0
31,methapyrilene,29 day,Middle,754.0,14.4,41.8,55.4,19.2,34.6,3.4,110.9,143.4,23.0,1.0,0.0,3.0,72.0,15.3,19.0,280.0,1471.0,102.0,44.0,172.0,0.03,0.0,170.0,16.0,0.2,143.0,4.0,108.0,10.5,5.8,5.5,2.8,1.0,160.0,85.0,233.0,3.0
32,griseofulvin,15 day,High,709.0,14.9,43.8,61.8,21.0,33.9,2.0,120.5,92.1,16.0,1.0,0.0,3.0,80.0,11.9,20.3,249.0,813.0,89.0,102.0,177.0,0.16,0.09,191.0,14.0,0.5,141.0,4.2,102.0,11.1,7.9,6.2,3.6,1.4,51.0,33.0,98.0,0.0
33,methylene dianiline,29 day,Middle,750.0,15.2,42.4,56.6,20.3,35.9,2.5,106.0,148.6,13.0,1.0,1.0,2.0,84.0,11.7,17.3,273.0,1038.0,64.0,104.0,122.0,0.05,0.02,178.0,14.0,0.2,145.0,4.2,107.0,10.6,6.4,5.8,2.5,0.8,61.0,37.0,57.0,1.0
34,papaverine,8 day,Middle,633.0,13.5,40.1,63.4,21.3,33.7,6.4,126.8,148.2,24.0,1.0,0.0,3.0,71.0,14.5,23.0,331.0,1759.0,82.0,100.0,164.0,0.0,0.0,202.0,18.0,0.2,140.0,4.3,106.0,10.7,7.0,5.7,3.0,1.1,71.0,48.0,201.0,3.0
35,indomethacin,15 day,Middle,664.0,13.8,41.7,62.8,20.7,33.0,5.3,112.3,112.0,9.0,1.0,0.0,5.0,86.0,11.8,16.3,239.0,988.0,76.0,173.0,163.0,0.26,0.0,196.0,22.0,0.6,140.0,5.0,105.0,11.1,8.4,6.4,4.4,2.2,52.0,29.0,85.0,0.0
36,allyl alcohol,8 day,High,653.0,13.2,38.8,59.5,20.2,34.1,3.2,199.9,160.2,11.0,0.0,0.0,7.0,80.0,12.3,19.5,293.0,830.0,76.0,90.0,147.0,0.14,0.08,186.0,11.0,0.4,141.0,3.7,102.0,10.9,7.0,5.7,3.3,1.4,62.0,35.0,317.0,1.0
37,sulfasalazine,29 day,High,783.0,15.3,42.5,54.3,19.5,36.0,3.3,107.9,75.8,9.0,1.0,0.0,2.0,88.0,13.0,19.6,209.0,742.0,65.0,21.0,107.0,0.12,0.06,198.0,17.0,0.5,143.0,3.5,104.0,10.3,5.7,6.5,3.8,1.4,69.0,40.0,162.0,2.0
38,monocrotaline,8 day,High,724.0,14.4,41.4,57.1,19.8,34.7,2.5,39.4,200.0,18.0,0.0,0.0,5.0,72.0,19.6,28.1,389.0,1811.0,73.0,33.0,123.0,0.26,0.16,143.0,12.0,0.2,139.0,4.5,104.0,10.6,6.9,5.0,2.4,1.0,363.0,158.0,661.0,2.0
39,cyclophosphamide,15 day,Middle,684.0,13.9,41.1,60.1,20.3,33.7,3.2,124.3,25.9,30.0,1.0,0.0,8.0,61.0,14.1,22.3,288.0,1224.0,65.0,89.0,131.0,0.02,0.0,169.0,16.0,0.2,144.0,3.9,110.0,10.5,7.2,5.6,3.1,1.2,61.0,36.0,154.0,1.0
40,coumarin,29 day,Low,744.0,14.6,44.0,59.2,19.6,33.1,3.1,98.8,134.0,11.0,1.0,0.0,3.0,85.0,11.9,18.0,194.0,515.0,75.0,108.0,134.0,0.34,0.0,206.0,17.0,0.6,139.0,4.6,106.0,10.5,5.8,6.4,4.1,1.8,45.0,29.0,54.0,1.0
41,amitriptyline,15 day,Low,700.0,13.7,41.4,59.1,19.5,33.0,4.9,122.1,142.2,14.0,1.0,1.0,2.0,82.0,16.2,16.5,274.0,1356.0,72.0,114.0,152.0,0.04,0.03,217.0,19.0,0.2,140.0,4.0,103.0,10.9,7.3,6.0,2.6,0.8,65.0,39.0,64.0,1.0
42,chloramphenicol,8 day,High,656.0,13.0,41.0,62.4,19.9,31.8,5.1,130.9,70.0,14.0,1.0,0.0,3.0,81.0,15.1,15.9,378.0,1535.0,60.0,46.0,125.0,0.06,0.01,169.0,14.0,0.2,146.0,4.0,107.0,11.4,10.8,6.0,2.8,0.9,71.0,45.0,58.0,1.0
43,methyldopa,15 day,Low,673.0,14.0,40.7,60.6,20.7,34.3,4.4,114.6,91.0,14.0,1.0,0.0,2.0,83.0,13.3,16.0,305.0,1339.0,110.0,121.0,200.0,0.06,0.01,171.0,15.0,0.2,140.0,4.5,104.0,11.3,6.3,6.0,2.8,0.9,52.0,43.0,42.0,1.0
44,hexachlorobenzene,15 day,Low,719.0,14.6,44.3,61.6,20.4,33.1,4.0,116.7,100.0,20.0,2.0,0.0,9.0,69.0,12.5,19.0,243.0,458.0,124.0,118.0,206.0,0.5,0.0,156.0,17.0,0.5,140.0,4.4,105.0,10.7,8.0,6.5,4.1,1.7,57.0,39.0,90.0,2.0
45,acetazolamide,15 day,High,657.0,13.4,38.3,58.3,20.3,34.9,6.7,89.5,79.9,29.0,1.0,0.0,3.0,67.0,16.3,19.1,248.0,1137.0,93.0,108.0,164.0,0.0,0.0,189.0,20.0,0.2,144.0,4.0,111.0,10.6,8.1,4.8,2.8,1.4,58.0,39.0,114.0,2.0
46,amitriptyline,15 day,High,756.0,15.8,46.1,61.0,20.9,34.4,2.8,108.2,137.3,17.0,0.0,1.0,2.0,80.0,17.4,17.3,282.0,1638.0,61.0,70.0,116.0,0.04,0.02,160.0,17.0,0.2,142.0,4.1,104.0,11.2,7.6,6.0,2.7,0.8,64.0,43.0,70.0,1.0
47,allopurinol,8 day,Low,649.0,14.0,41.9,64.6,21.6,33.4,5.1,117.0,87.9,14.0,1.0,0.0,1.0,84.0,11.8,16.4,257.0,816.0,95.0,123.0,167.0,0.2,0.03,206.0,25.0,0.7,141.0,4.1,105.0,11.6,9.1,6.5,4.2,1.8,54.0,24.0,198.0,2.0
48,chlormezanone,29 day,High,657.0,13.3,38.7,58.9,20.2,34.4,6.7,123.4,102.5,23.0,1.0,0.0,2.0,74.0,12.6,25.3,287.0,1105.0,65.0,81.0,124.0,0.06,0.01,178.0,16.0,0.3,143.0,4.0,108.0,10.3,4.8,6.3,2.8,0.8,58.0,46.0,62.0,4.0
49,indomethacin,8 day,Low,641.0,13.4,40.9,63.7,20.9,32.9,6.2,104.9,132.0,7.0,0.0,0.0,4.0,89.0,11.5,16.1,244.0,913.0,72.0,91.0,136.0,0.47,0.0,213.0,25.0,0.5,138.0,4.5,105.0,10.9,7.7,6.2,4.1,2.0,59.0,27.0,109.0,1.0
50,acetazolamide,8 day,Middle,690.0,14.8,41.6,60.2,21.4,35.6,5.8,97.7,141.5,11.0,1.0,0.0,2.0,85.0,16.6,22.3,317.0,1705.0,73.0,150.0,151.0,0.0,0.0,189.0,19.0,0.2,143.0,4.3,109.0,10.7,6.6,5.3,3.0,1.4,64.0,37.0,130.0,1.0
51,omeprazole,8 day,Low,664.0,13.4,38.9,58.5,20.1,34.4,4.4,143.4,94.2,19.0,1.0,0.0,3.0,77.0,12.5,20.7,234.0,903.0,88.0,96.0,163.0,0.11,0.06,201.0,12.0,0.4,139.0,4.2,101.0,10.6,8.2,5.8,3.5,1.5,67.0,31.0,198.0,1.0
52,methylene dianiline,15 day,Middle,660.0,13.3,38.8,58.8,20.2,34.3,5.0,134.0,115.9,21.0,0.0,0.0,2.0,75.0,11.4,15.1,274.0,2183.0,67.0,76.0,133.0,0.06,0.01,193.0,15.0,0.2,144.0,3.3,104.0,10.9,7.6,6.0,2.6,0.8,67.0,43.0,53.0,1.0
53,bucetin,29 day,Middle,732.0,14.4,41.9,57.3,19.7,34.4,4.1,108.8,117.6,29.0,2.0,0.0,2.0,66.0,14.1,16.3,268.0,1033.0,76.0,145.0,154.0,0.08,0.03,186.0,14.0,0.2,144.0,3.9,106.0,11.1,6.2,6.2,2.8,0.8,72.0,43.0,122.0,1.0
54,benzbromarone,8 day,High,658.0,14.5,43.3,65.9,22.0,33.4,5.4,112.8,73.3,12.0,1.0,0.0,7.0,79.0,12.3,17.5,236.0,786.0,105.0,27.0,152.0,0.22,0.03,214.0,25.0,0.7,139.7,4.6,106.0,10.6,7.1,6.7,4.6,2.19,62.0,36.0,255.0,1.0
55,imipramine,8 day,Middle,654.0,13.2,40.0,61.2,20.3,33.1,4.1,120.3,60.8,15.0,1.0,0.0,2.0,82.0,16.3,16.4,258.0,1428.0,72.0,76.0,128.0,0.04,0.01,175.0,12.0,0.2,140.0,4.1,105.0,10.9,7.1,5.5,2.4,0.8,56.0,35.0,136.0,0.0
56,famotidine,8 day,Middle,646.0,14.0,39.7,61.4,21.7,35.4,4.5,117.0,81.1,17.0,1.0,0.0,3.0,78.0,12.2,19.8,225.0,795.0,77.0,97.0,155.0,0.14,0.08,208.0,13.0,0.4,143.0,4.1,103.0,11.0,8.1,5.8,3.4,1.4,66.0,36.0,163.0,1.0
57,acarbose,15 day,High,697.0,14.3,43.7,62.7,20.5,32.8,4.7,169.6,143.5,14.0,1.0,0.0,1.0,83.0,13.0,34.7,309.0,1599.0,79.0,156.0,158.0,0.04,0.02,180.0,20.0,0.3,143.0,4.3,105.0,10.8,7.5,6.0,2.7,0.8,71.0,39.0,110.0,1.0
58,indomethacin,8 day,Low,591.0,13.2,40.2,68.1,22.4,32.9,11.2,109.3,132.0,9.0,0.0,0.0,2.0,88.0,12.4,17.2,216.0,830.0,79.0,132.0,155.0,0.41,0.0,201.0,18.0,0.5,140.0,5.2,106.0,11.1,8.6,5.8,3.8,1.9,63.0,33.0,78.0,2.0
59,tolbutamide,8 day,High,687.0,14.3,42.8,62.2,20.8,33.4,4.3,99.4,106.1,9.0,0.0,1.0,2.0,88.0,13.1,18.6,271.0,1407.0,66.0,107.0,151.0,0.05,0.0,182.0,14.0,0.2,142.0,4.0,106.0,10.6,6.9,5.4,2.6,0.9,74.0,42.0,71.0,1.0
60,ranitidine,29 day,Middle,718.0,15.9,42.3,58.9,22.1,37.5,2.6,100.2,138.2,21.0,1.0,0.0,2.0,73.0,12.7,23.3,219.0,659.0,69.0,59.0,134.0,0.15,0.08,215.0,21.0,0.5,142.0,3.5,103.0,10.6,7.4,6.3,3.5,1.2,65.0,32.0,167.0,2.0
61,diclofenac,15 day,Middle,699.0,14.9,42.2,60.4,21.2,35.2,3.5,101.6,115.0,14.0,1.0,0.0,2.0,81.0,12.4,21.0,219.0,1064.0,63.0,122.0,150.0,0.13,0.09,199.0,17.0,0.4,142.0,3.5,102.0,10.6,8.1,5.9,3.3,1.3,70.0,36.0,259.0,1.0
62,valproic acid,8 day,Low,608.0,13.1,38.1,62.7,21.5,34.3,6.7,129.4,153.3,13.0,1.0,0.0,3.0,82.0,12.5,18.3,216.0,827.0,69.0,68.0,129.0,0.14,0.1,243.0,16.0,0.4,139.0,3.4,102.0,10.5,7.7,5.5,3.4,1.6,60.0,33.0,140.0,2.0
63,ranitidine,29 day,High,764.0,15.2,43.0,56.3,19.9,35.4,2.6,99.6,93.9,25.0,2.0,0.0,2.0,71.0,11.9,19.3,271.0,620.0,82.0,60.0,154.0,0.15,0.1,178.0,19.0,0.5,144.0,3.4,103.0,10.8,7.4,6.5,3.7,1.3,72.0,50.0,93.0,0.0
64,terbinafine,8 day,High,770.0,16.2,46.1,59.9,21.0,35.1,0.3,134.8,72.3,5.0,1.0,1.0,3.0,89.0,18.8,38.6,165.0,550.0,94.0,9.0,138.0,0.2,0.1,180.0,13.0,0.5,139.0,4.9,102.0,8.8,7.4,5.1,3.3,1.8,57.0,41.0,208.0,3.0
65,papaverine,29 day,High,800.0,14.5,44.7,55.8,18.1,32.5,1.8,118.8,119.9,9.0,1.0,0.0,2.0,87.0,15.6,27.5,311.0,1054.0,88.0,126.0,167.0,0.0,0.0,180.0,18.0,0.2,143.0,3.9,109.0,10.3,6.2,6.0,3.2,1.1,72.0,43.0,146.0,3.0
66,chlorpheniramine,15 day,Middle,686.0,14.0,42.1,61.3,20.4,33.3,2.9,91.7,79.8,29.0,0.0,0.0,4.0,60.0,14.3,14.0,647.0,1473.0,73.0,68.0,138.0,0.04,0.02,195.0,13.0,0.3,144.0,4.1,107.0,11.1,7.1,6.3,2.9,0.9,70.0,51.0,103.0,1.0
67,captopril,29 day,Low,796.0,15.6,46.7,58.6,19.6,33.4,1.9,105.3,106.0,6.0,1.0,0.0,3.0,90.0,11.6,17.0,215.0,785.0,68.0,167.0,154.0,0.34,0.03,186.0,19.0,0.5,136.0,5.1,105.0,10.3,7.7,6.0,4.1,2.2,63.0,32.0,93.0,0.0
68,terbinafine,15 day,Low,692.0,14.0,41.3,59.6,20.2,33.8,4.4,120.9,137.8,10.0,1.0,1.0,2.0,86.0,11.2,19.8,227.0,1092.0,70.0,127.0,147.0,0.15,0.09,204.0,17.0,0.5,142.0,3.8,103.0,11.1,7.3,6.0,3.8,1.7,60.0,30.0,131.0,1.0
69,ethambutol,15 day,High,853.0,16.2,47.0,55.0,18.9,34.4,0.5,135.2,72.4,11.0,2.0,0.0,3.0,83.0,18.5,20.8,212.0,1481.0,59.0,19.0,117.0,0.06,0.06,151.0,20.0,0.2,139.0,4.2,110.0,8.9,6.2,4.4,2.3,1.1,156.0,65.0,132.0,6.0
70,triamterene,15 day,Low,765.0,15.1,46.6,60.9,19.8,32.5,2.7,108.6,79.0,17.0,1.0,0.0,2.0,80.0,13.0,19.2,364.0,1336.0,55.0,71.0,123.0,0.07,0.01,186.0,15.0,0.2,144.0,4.1,106.0,10.1,7.2,5.7,2.7,0.9,62.0,40.0,48.0,1.0
71,chlormadinone,29 day,Low,792.0,15.5,45.8,57.8,19.6,33.9,2.3,95.0,114.0,7.0,1.0,0.0,2.0,89.0,15.2,27.0,299.0,989.0,65.0,163.0,143.0,0.0,0.0,219.0,18.0,0.2,141.0,4.1,106.0,10.6,6.5,6.1,3.1,1.1,60.0,42.0,124.0,2.0
72,amiodarone,15 day,High,806.0,15.6,43.7,54.2,19.4,35.7,0.7,120.5,62.9,41.0,1.0,0.0,2.0,56.0,14.3,35.3,183.0,1405.0,154.0,30.0,187.0,0.12,0.06,225.0,17.0,0.5,138.0,3.5,100.0,9.5,6.9,5.8,3.4,1.4,48.0,38.0,112.0,2.0
73,etoposide,29 day,High,726.0,14.6,43.3,59.7,20.1,33.7,6.8,116.0,74.0,20.0,2.0,0.0,15.0,64.0,11.7,17.3,225.0,664.0,56.0,153.0,132.0,0.28,0.01,199.0,21.0,0.5,142.0,4.9,106.0,10.5,5.5,5.7,3.4,1.5,67.0,25.0,98.0,2.0
74,disopyramide,29 day,Low,766.0,14.1,42.4,55.3,18.4,33.3,2.5,107.4,115.4,10.0,1.0,0.0,2.0,86.0,15.9,26.7,308.0,1156.0,51.0,243.0,141.0,0.0,0.0,189.0,15.0,0.2,141.0,4.3,106.0,10.6,6.1,6.1,3.1,1.0,59.0,35.0,138.0,2.0
75,chloramphenicol,15 day,Middle,743.0,15.1,46.8,63.0,20.3,32.2,4.8,132.7,72.4,11.0,1.0,0.0,3.0,85.0,15.0,16.3,312.0,1692.0,63.0,106.0,148.0,0.05,0.02,199.0,16.0,0.2,145.0,4.1,106.0,11.3,7.9,5.9,2.7,0.8,71.0,53.0,56.0,1.0
76,WY-14643,8 day,Middle,596.0,12.6,37.4,62.7,21.2,33.8,4.7,135.0,117.7,19.0,1.0,0.0,3.0,77.0,12.8,17.9,234.0,1682.0,60.0,52.0,127.0,0.04,0.01,182.0,17.0,0.2,145.0,4.2,108.0,11.1,6.8,5.8,2.8,0.9,68.0,55.0,67.0,1.0
77,rotenone,15 day,Middle,687.0,13.9,42.7,62.1,20.2,32.6,3.4,110.0,115.0,16.0,1.0,0.0,4.0,79.0,11.3,15.0,219.0,1113.0,76.0,95.0,141.0,0.03,0.01,189.0,20.0,0.4,138.0,4.3,103.0,11.4,7.1,5.3,3.6,2.1,61.0,35.0,62.0,1.0
78,hexachlorobenzene,29 day,Low,713.0,14.3,42.5,59.5,20.0,33.6,3.1,108.9,112.0,19.0,2.0,0.0,6.0,73.0,13.0,22.5,259.0,381.0,131.0,81.0,201.0,0.41,0.0,169.0,18.0,0.7,141.0,5.1,106.0,10.5,6.2,7.1,4.4,1.6,62.0,55.0,91.0,4.0
